,information,match,bet,outcome,course,date,status
0,,"['Panathinaikos', 'Ionikos']",Liczba goli,powyżej 1.5,1.33,2022-08-21T17:00:00.000Z,lost
0,,"['Maribor', 'Celje']",Liczba goli,poniżej 3.5,1.33,2022-08-21T15:30:00.000Z,lost
0,,"['Bayern M.', ""M'gladbach""]",Mecz,1,1.33,2022-08-27T16:30:00.000Z,active
0,,"['Podbeskidzie', 'Niepołomice']",Liczba goli,poniżej 3.5,1.33,2022-08-20T13:00:00.000Z,win
0,,"['The New Saints', 'Penybont']",Mecz,1,1.33,2022-08-20T13:30:00.000Z,win
0,,"['Piast', 'Mielec']",Liczba goli,poniżej 3.5,1.33,2022-08-21T15:30:00.000Z,lost
0,,"['Legia', 'Górnik Z.']",Liczba goli,powyżej 1.5,1.25,2022-08-19T18:30:00.000Z,win
0,,"['Tokyo Verdy', 'Ventforet Kofu']",Liczba goli,poniżej 3.5,1.33,2022-08-21T09:00:00.000Z,win
0,,"['Odense BK', 'AC Horsens']",Liczba goli,powyżej 1.5,1.33,2022-08-22T17:00:00.000Z,lost
0,,"['Oita Trinita', 'Grulla Morioka']",Liczba goli,poniżej 3.5,1.33,2022-08-20T10:00:00.000Z,win
0,,"['W.Płock', 'Korona']",Liczba goli,powyżej 1.5,1.25,2022-08-20T13:00:00.000Z,win
0,,"['Fortuna Sittard', 'Cambuur']",Liczba goli,poniżej 4.5,1.22,2022-08-20T16:45:00.000Z,lost
0,,"['Halmstads BK', 'Vasteras SK']",Liczba goli,powyżej 1.5,1.22,2022-08-21T13:00:00.000Z,win
0,,"['Toulouse', 'Lorient']",Liczba goli,poniżej 3.5,1.33,2022-08-21T13:00:00.000Z,lost
0,,"['Palmeiras SP', 'Flamengo RJ']",Liczba goli,poniżej 3.5,1.33,2022-08-21T19:00:00.000Z,win
0,,"['Rapid B.', 'UTA Arad']",Liczba goli,poniżej 3.5,1.2,2022-08-20T18:30:00.000Z,win
0,2141-7E25CM,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,127820.18,,,,,,
5,36520.32,,,,,,
6,bets:,,,,,,
0,,"['CA Cerro', 'Villa Espanola']",1.połowa - liczba goli,powyżej 0.5,1.65,2022-08-19T20:30:00.000Z,lost
0,,"['Atromitos', 'OFI Crete']",1.połowa - liczba goli,poniżej 1.5,1.36,2022-08-20T17:00:00.000Z,lost
0,,"['Dinamo Minsk', ' Slavia Mozyr']",Mecz,1,1.5,2022-08-21T13:00:00.000Z,lost
0,,"['Rennes', 'Ajaccio']",Mecz,1,1.45,2022-08-21T15:05:00.000Z,win
0,,"['Tondela', 'Covilha']",Liczba goli,powyżej 1.5,1.4,2022-08-19T17:00:00.000Z,win
0,,"['CA Lanus', 'Arsenal Sarandi']",Liczba goli,poniżej 2.5,1.6,2022-08-21T16:00:00.000Z,win
0,,"['Moroka Swallows', 'AmaZulu']",Liczba goli,poniżej 2.5,1.4,2022-08-19T17:30:00.000Z,lost
0,,"['Jagiellonia', 'Legnica']",Liczba goli,poniżej 3.5,1.4,2022-08-19T16:00:00.000Z,win
0,,"['Sampaio Corr.MA', 'CRB AL']",1.połowa - liczba goli,powyżej 0.5,1.6,2022-08-20T22:00:00.000Z,win
0,,"['Benfica', 'Dynamo K.']",Mecz,1,1.4,2022-08-23T19:00:00.000Z,win
0,,"['Eintracht F.', 'Koln']",Liczba goli,poniżej 3.5,1.53,2022-08-21T13:30:00.000Z,win
0,,"['Viktoria Koln', 'Bayern M.']",1.połowa - liczba goli,poniżej 2.5,1.5,2022-08-31T18:46:00.000Z,active
0,,"['Espanyol', 'Real Madryt']",Liczba goli,powyżej 2.5,1.6,2022-08-28T20:00:00.000Z,active
0,,"['Aalborg BK', 'Brondby']",Liczba goli,poniżej 3.5,1.4,2022-08-21T16:00:00.000Z,win
0,,"['Augsburg', 'Mainz']",Liczba goli,poniżej 3.5,1.4,2022-08-20T13:30:00.000Z,win
0,,"['Dortmund', 'Werder B.']",Mecz,1,1.4,2022-08-20T13:30:00.000Z,win
0,2141-7E25CL,,,,,,
1,900,,,,,,
2,[3],,,,,,
3,8,,,,,,
4,26592.5,,,,,,
5,,,,,,,
6,bets:,,,,,,
0,,"['Victoria Rosport', 'Jeunesse Esch']",Mecz,1,3.6,2022-08-20T14:00:00.000Z,lost
0,,"['Keshla', 'Sabail']",Mecz,1,3.0,2022-08-19T12:30:00.000Z,lost
0,,"['Aberystwyth T.', 'Cardiff Met']",Mecz,1,2.7,2022-08-20T16:45:00.000Z,lost
0,,"['Mes Kerman', 'Paykan']",Mecz,X,2.75,2022-08-19T15:00:00.000Z,lost
0,,"['Sandecja', 'GKS Tychy']",Mecz,X,3.4,2022-08-22T16:00:00.000Z,lost
0,,"['Lecce', 'Empoli']",Mecz,X,3.4,2022-08-28T18:45:00.000Z,active
0,,"['Brest', 'Montpellier']",Mecz,X,3.6,2022-08-28T13:00:00.000Z,active
0,,"['Salernitana', 'Sampdoria']",Mecz,X,3.4,2022-08-28T16:30:00.000Z,active
0,2141-7E25C9,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,124886.12,,,,,,
5,35681.74,,,,,,
6,bets:,,,,,,
0,,"['U Craiova 1948', 'Petrolul']",Liczba goli,poniżej 2.5,1.57,2022-08-19T18:00:00.000Z,win
0,,"['SV Horn', 'FAC Wiedeń']",1.połowa - liczba goli,poniżej 1.5,1.45,2022-08-19T16:10:00.000Z,win
0,,"['Granada', 'Racing Santander']",Mecz,1,1.55,2022-08-20T20:00:00.000Z,win
0,,"['Helmond', 'FC Eindhoven']",1.połowa - liczba goli,poniżej 1.5,1.55,2022-08-19T18:00:00.000Z,win
0,,"['Real Salt Lake', 'Vancouver Whi.']",Liczba goli,poniżej 3.5,1.47,2022-08-21T02:00:00.000Z,win
0,,"['Nagoya Grampus', 'Jubilo Iwata']",Liczba goli,powyżej 1.5,1.4,2022-08-19T10:30:00.000Z,lost
0,,"['Cosenza', 'Modena']",Liczba goli,powyżej 1.5,1.4,2022-08-21T18:45:00.000Z,win
0,,"['Zrinjski Mostar', 'Slovan B.']",1.połowa - liczba goli,powyżej 0.5,1.55,2022-08-18T18:00:00.000Z,lost
0,,"['Leeds', 'Chelsea']",Mecz,2,1.57,2022-08-21T13:00:00.000Z,lost
0,,"['PSG', 'Monaco']",Mecz,1,1.4,2022-08-28T18:45:00.000Z,active
0,,"['Gimnasia LP', 'Aldosivi']",Liczba goli,powyżej 1.5,1.36,2022-08-24T00:30:00.000Z,lost
0,,"['Aston Villa', 'West Ham']",Liczba goli,poniżej 3.5,1.42,2022-08-28T13:00:00.000Z,active
0,,"['Sarajevo', 'Sloboda Tuzla']",Mecz,1,1.5,2022-08-19T18:00:00.000Z,lost
0,,"['Benfica', 'Dynamo K.']",1.połowa - liczba goli,poniżej 1.5,1.47,2022-08-23T19:00:00.000Z,lost
0,,"['Fiorentina', 'Twente']",Liczba goli,poniżej 3.5,1.47,2022-08-18T19:00:00.000Z,win
0,,"['Freiburg II', 'Viktoria Koln']",Liczba goli,poniżej 3.5,1.4,2022-08-20T12:00:00.000Z,win
0,2141-7E25CX,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,39539.97,,,,,,
5,12271.11,,,,,,
6,bets:,,,,,,
0,,"['Nantes', 'Toulouse']",Liczba goli,powyżej 1.5,1.35,2022-08-28T11:00:00.000Z,active
0,,"['Koln', 'Fehervar']",Liczba goli,poniżej 4.5,1.35,2022-08-18T18:30:00.000Z,win
0,,"['U Craiova 1948', 'Petrolul']",Liczba goli,poniżej 3.5,1.2,2022-08-19T18:00:00.000Z,win
0,,"['Preston NE', 'Watford']",Liczba goli,poniżej 3.5,1.25,2022-08-20T14:00:00.000Z,win
0,,"['PAOK', 'Panetolikos']",Mecz,1,1.33,2022-08-20T18:45:00.000Z,win
0,,"['Club Necaxa', 'CD Guadalajara']",Liczba goli,poniżej 3.5,1.22,2022-08-20T00:00:00.000Z,lost
0,,"['Atl. Tucuman', 'Barracas Central']",Liczba goli,poniżej 3.5,1.28,2022-08-24T00:30:00.000Z,lost
0,,"['Istanbulspor', 'Konyaspor']",Liczba goli,powyżej 1.5,1.35,2022-08-22T16:15:00.000Z,win
0,,"['Atlas', 'Club Puebla']",Liczba goli,poniżej 3.5,1.33,2022-08-21T00:05:00.000Z,win
0,,"['W.Kraków', 'Skra Cz.']",Liczba goli,poniżej 3.5,1.33,2022-08-20T15:30:00.000Z,win
0,,"['Crvena Zvezda', 'Maccabi Haifa']",Liczba goli,powyżej 1.5,1.35,2022-08-23T19:00:00.000Z,win
0,,"['Orgryte IS', 'Norrby IF']",Liczba goli,poniżej 3.5,1.35,2022-08-23T17:00:00.000Z,lost
0,,"['Granada', 'Racing Santander']",Liczba goli,powyżej 1.5,1.33,2022-08-20T20:00:00.000Z,win
0,,"['Villarreal', 'Hajduk Split']",Liczba goli,poniżej 4.5,1.22,2022-08-18T18:45:00.000Z,lost
0,,"['Austria Wiedeń', 'Fenerbahce']",Liczba goli,powyżej 1.5,1.28,2022-08-18T19:00:00.000Z,win
0,,"['Colon Santa Fe', 'CA Tigre']",Liczba goli,poniżej 3.5,1.33,2022-08-20T21:00:00.000Z,win
0,2141-7E25CA,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,61924.87,,,,,,
5,17692.67,,,,,,
6,bets:,,,,,,
0,,"['Juventude RS', 'Botafogo RJ']",Liczba goli,poniżej 3.5,1.25,2022-08-21T14:00:00.000Z,lost
0,,"['Gremio FBPA RS', 'Cruzeiro MG']",Liczba goli,poniżej 2.5,1.47,2022-08-21T19:00:00.000Z,lost
0,,"['Manchester City', 'Crystal Palace']",Liczba goli,poniżej 4.5,1.4,2022-08-27T14:00:00.000Z,active
0,,"['Sheffield Utd', 'Sunderland']",Liczba goli,poniżej 3.5,1.33,2022-08-17T19:00:00.000Z,win
0,,"['SV Horn', 'FAC Wiedeń']",Liczba goli,poniżej 3.5,1.42,2022-08-19T16:10:00.000Z,win
0,,"['Rosario Central', 'Banfield']",Liczba goli,poniżej 3.5,1.22,2022-08-22T19:30:00.000Z,win
0,,"['Barcelona', 'Valladolid']",Mecz,1,1.25,2022-08-28T17:30:00.000Z,active
0,,"['W.Płock', 'Korona']",Mecz,1,1.57,2022-08-20T13:00:00.000Z,win
0,,"['Djurgarden IF', 'Apoel Nicosia']",Liczba goli,powyżej 1.5,1.4,2022-08-17T16:45:00.000Z,win
0,,"['Helmond', 'FC Eindhoven']",Liczba goli,poniżej 3.5,1.53,2022-08-19T18:00:00.000Z,win
0,,"['Jagiellonia', 'Legnica']",Liczba goli,powyżej 1.5,1.33,2022-08-19T16:00:00.000Z,win
0,,"['Hamburger', 'Darmstadt']",Liczba goli,poniżej 4.5,1.25,2022-08-19T16:30:00.000Z,win
0,,"['Slavia Praga', 'Pardubice']",Liczba goli,powyżej 2.5,1.55,2022-08-21T17:00:00.000Z,win
0,,"['Nautico PE', 'Vila Nova GO']",Liczba goli,poniżej 2.5,1.53,2022-08-20T00:30:00.000Z,lost
0,,"['Salernitana', 'Sampdoria']",Liczba goli,poniżej 3.5,1.4,2022-08-28T16:30:00.000Z,active
0,,"['Zemplin Michal.', 'Skalica']",Liczba goli,poniżej 3.5,1.33,2022-08-20T16:00:00.000Z,lost
0,2141-7E2583,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,36484.09,,,,,,
5,11322.74,,,,,,
6,bets:,,,,,,
0,,"['Meizhou Hakka', 'Guangzhou City']",Mecz,1,1.28,2022-08-17T11:30:00.000Z,win
0,,"['Hermannstadt', 'CFR Cluj']",Liczba goli,poniżej 3.5,1.22,2022-08-21T13:00:00.000Z,refund
0,,"['Jong PSV', 'Heracles Almelo']",Liczba goli,poniżej 4.5,1.28,2022-08-22T18:00:00.000Z,win
0,,"['Club Brugge', 'Kortrijk']",Mecz,1,1.33,2022-08-21T11:30:00.000Z,win
0,,"['Olympiacos', 'PAS Giannina']",Mecz,1,1.28,2022-08-21T19:00:00.000Z,win
0,,"['Arsenal', 'Fulham']",Mecz,1,1.35,2022-08-27T16:30:00.000Z,active
0,,"['Lillestrom', 'Sandefjord']",Mecz,1,1.35,2022-08-21T16:00:00.000Z,win
0,,"['Atl. Mineiro MG', 'Goias GO']",Mecz,1,1.28,2022-08-20T19:30:00.000Z,lost
0,,"['Pakhtakor Tash.', 'Olimpik Tashkent']",Mecz,1,1.3,2022-08-17T14:00:00.000Z,lost
0,,"['Reading', 'Blackburn']",Liczba goli,poniżej 3.5,1.33,2022-08-17T19:00:00.000Z,win
0,,"['Partizan', 'Hamrun Spartans']",Mecz,1,1.2,2022-08-18T19:00:00.000Z,win
0,,"['Aris', 'Levadiakos']",Liczba goli,poniżej 3.5,1.33,2022-08-21T17:30:00.000Z,win
0,,"['Sandecja', 'GKS Tychy']",Liczba goli,poniżej 3.5,1.33,2022-08-22T16:00:00.000Z,lost
0,,"['Porto', 'Sporting L.']",Liczba goli,powyżej 1.5,1.33,2022-08-20T19:30:00.000Z,win
0,,"['Burton Albion', 'Ipswich Town']",Liczba goli,poniżej 3.5,1.33,2022-08-16T18:45:00.000Z,win
0,,"['Honka', 'HIFK']",Mecz,1,1.2,2022-08-22T15:00:00.000Z,win
0,2141-7E258Q,,,,,,
1,1000,,,,,,
2,[11],,,,,,
3,15,,,,,,
4,53820.75,,,,,,
5,13953.74,,,,,,
6,bets:,,,,,,
0,,"['Maribor', 'CFR Cluj']",Liczba goli,poniżej 2.5,1.47,2022-08-18T18:15:00.000Z,win
0,,"['FCSB', 'Viking']",Liczba goli,poniżej 3.5,1.4,2022-08-18T18:30:00.000Z,win
0,,"['Slovan B.', 'Zilina']",Mecz,1,1.45,2022-08-21T18:30:00.000Z,win
0,,"['W.Kraków', 'Skra Cz.']",Mecz,1,1.47,2022-08-20T15:30:00.000Z,win
0,,"['Panathinaikos', 'Ionikos']",Mecz,1,1.36,2022-08-21T17:00:00.000Z,win
0,,"['Monza', 'Udinese']",Liczba goli,poniżej 3.5,1.47,2022-08-26T16:30:00.000Z,active
0,,"['Portsmouth', 'Bristol Rovers']",Liczba goli,poniżej 3.5,1.4,2022-08-20T14:00:00.000Z,lost
0,,"['Ferencvarosi TC', 'Shamrock Rovers']",Liczba goli,poniżej 3.5,1.42,2022-08-18T16:30:00.000Z,lost
0,,"['Zel. Podbrezova', 'Dukla Banska B.']",Liczba goli,poniżej 3.5,1.42,2022-08-19T18:30:00.000Z,lost
0,,"['Cremonese', 'Torino']",Liczba goli,poniżej 3.5,1.42,2022-08-27T16:30:00.000Z,active
0,,"['Macara', 'Aucas']",1.połowa - liczba goli,poniżej 1.5,1.36,2022-08-21T01:00:00.000Z,win
0,,"['Maccabi Netanya', 'Beitar Jerusalem']",1.połowa - liczba goli,poniżej 1.5,1.38,2022-08-20T17:15:00.000Z,lost
0,,"['Chelsea', 'Leicester']",Mecz,1,1.4,2022-08-27T14:00:00.000Z,active
0,,"['Newcastle', 'Manchester City']",Mecz,2,1.4,2022-08-21T15:30:00.000Z,lost
0,,"['Napoli', 'Monza']",Mecz,1,1.4,2022-08-21T16:30:00.000Z,win
0,2141-7E258T,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,38380.69,,,,,,
5,11911.29,,,,,,
6,bets:,,,,,,
0,,"['NAC Breda', 'TOP Oss']",Liczba goli,poniżej 4.5,1.22,2022-08-19T18:00:00.000Z,win
0,,"['Bristol City', 'Luton Town']",Liczba goli,poniżej 3.5,1.33,2022-08-16T18:45:00.000Z,win
0,,"['U.Humbert', 'C.Chidekh']",Zwycięzca,1,1.28,2022-08-16T21:23:00.000Z,win
0,,"['Trencin', 'Tatran L.Mikulas']",Liczba goli,powyżej 1.5,1.25,2022-08-20T16:00:00.000Z,win
0,,"['Shrewsbury Town', 'Ipswich Town']",Liczba goli,poniżej 3.5,1.22,2022-08-20T14:00:00.000Z,win
0,,"['Univ.Craiova', 'Hap. Beer Sheva']",Liczba goli,powyżej 1.5,1.35,2022-08-18T17:30:00.000Z,win
0,,"['Sparta R.', 'Ajax']",Mecz,2,1.28,2022-08-21T12:30:00.000Z,win
0,,"['Fulham', 'Brentford']",Liczba goli,poniżej 3.5,1.35,2022-08-20T14:00:00.000Z,lost
0,,"['Zalaegerszegi TE', 'Kisvarda']",Liczba goli,poniżej 3.5,1.33,2022-08-21T15:55:00.000Z,lost
0,,"['Z.Moravce-Vrable', 'Ruzomberok']",Liczba goli,poniżej 3.5,1.35,2022-08-20T16:00:00.000Z,lost
0,,"['Wuhan Yangtze R.', 'Beijing Guoan']",Liczba goli,powyżej 1.5,1.33,2022-08-17T11:30:00.000Z,win
0,,"['Rapid Wiedeń', 'TSV Hartberg']",Liczba goli,powyżej 1.5,1.25,2022-08-21T15:00:00.000Z,refund
0,,"['AZ Alkmaar', 'Gil Vicente']",Liczba goli,powyżej 1.5,1.25,2022-08-18T19:00:00.000Z,win
0,,"['Koper', 'Olimpija L.']",Liczba goli,poniżej 3.5,1.35,2022-08-20T18:15:00.000Z,win
0,,"['Brentford', 'Everton']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Raków', 'Slavia Praga']",Liczba goli,poniżej 3.5,1.33,2022-08-18T16:00:00.000Z,win
0,2141-7E258Y,,,,,,
1,1000,,,,,,
2,[11],,,,,,
3,16,,,,,,
4,539014.93,,,,,,
5,139744.7,,,,,,
6,bets:,,,,,,
0,,"['Molde', 'Wolfsberger AC']",Mecz,1,1.7,2022-08-18T17:00:00.000Z,lost
0,,"['Djurgarden IF', 'Apoel Nicosia']",Mecz,1,1.8,2022-08-17T16:45:00.000Z,win
0,,"['Vaduz', 'Rapid Wiedeń']",Mecz,2,1.85,2022-08-18T18:00:00.000Z,lost
0,,"['AZ Alkmaar', 'Gil Vicente']",Mecz,1,1.6,2022-08-18T19:00:00.000Z,win
0,,"['Rigas FS', 'Linfield']",Mecz,1,1.7,2022-08-18T17:00:00.000Z,lost
0,,"['Ranheim', 'Bryne']",Mecz,1,1.7,2022-08-22T16:00:00.000Z,lost
0,,"['FCSB', 'Viking']",Mecz,1,1.85,2022-08-18T18:30:00.000Z,lost
0,,"['Gijon', 'FC Andorra']",Mecz,1,1.8,2022-08-20T15:30:00.000Z,win
0,,"['Reims', 'Lyon']",Mecz,2,1.8,2022-08-28T15:05:00.000Z,active
0,,"['Hertha', 'Dortmund']",Mecz,2,1.7,2022-08-27T13:30:00.000Z,active
0,,"['Legia', 'Górnik Z.']",Mecz,1,1.85,2022-08-19T18:30:00.000Z,lost
0,,"['Mjallby AIF', 'Malmo FF']",Mecz,2,1.85,2022-08-21T13:00:00.000Z,lost
0,,"['Celta', 'Real Madryt']",Mecz,2,1.8,2022-08-20T20:00:00.000Z,win
0,,"['Porto B', 'UD Oliveirense']",Mecz,1,1.65,2022-08-21T14:30:00.000Z,win
0,,"['NY Red Bulls', 'Cincinnati']",Mecz,1,1.75,2022-08-20T22:00:00.000Z,lost
0,,"['Fluminense RJ', 'Coritiba PR']",Mecz,1,1.53,2022-08-20T22:00:00.000Z,win
